101	1	31
101	2	25
101	3	24
101	4	26
101	5	32
101	6	22
101	7	24
101	8	22
101	9	29
101	10	32
101	11	32
101	12	20
101	13	18
101	14	24
101	15	21
101	16	16
101	17	27
101	18	33
101	19	38
101	20	18
101	21	34
101	22	24
101	23	20
101	24	67
101	25	34
101	26	35
101	27	46
101	28	22
101	29	35
101	30	43
101	31	55
101	32	32
101	33	20
101	34	31
101	35	29
101	36	43
101	37	36
101	38	30
101	39	23
101	40	23
101	41	57
101	42	38
101	43	34
101	44	34
101	45	28
101	46	34
101	47	31
101	48	22
101	49	33
101	50	26
101	51	1
102	1	22
102	2	25
102	3	22
102	4	31
102	5	23
102	6	30
102	7	25
102	8	32
102	9	35
102	10	29
102	11	10
102	12	51
102	13	22
102	14	31
102	15	27
102	16	36
102	17	16
102	18	27
102	19	25
102	20	26
102	21	36
102	22	31
102	23	33
102	24	18
102	25	40
102	26	37
102	27	21
102	28	43
102	29	46
102	30	38
102	31	18
102	32	35
102	33	23
102	34	35
102	35	35
102	36	38
102	37	29
102	38	31
102	39	43
102	40	38
103	1	17
103	2	16
103	3	17
103	4	35
103	5	19
103	6	30
103	7	38
103	8	36
103	9	24
103	10	20
103	11	47
103	12	8
103	13	59
103	14	57
103	15	33
103	16	34
103	17	16
103	18	30
103	19	37
103	20	27
103	21	24
103	22	33
103	23	44
103	24	23
103	25	55
103	26	46
103	27	34
104	1	54
104	2	34
104	3	51
104	4	49
104	5	31
104	6	27
104	7	89
104	8	26
104	9	23
104	10	36
104	11	35
104	12	16
104	13	33
104	14	45
104	15	41
104	16	50
104	17	13
104	18	32
104	19	22
104	20	29
104	21	35
104	22	41
104	23	30
104	24	25
104	25	18
104	26	65
104	27	23
104	28	31
104	29	40
104	30	16
104	31	54
104	32	42
104	33	56
104	34	29
104	35	34
104	36	13
105	1	46
105	2	37
105	3	29
105	4	49
105	5	33
105	6	25
105	7	26
105	8	20
105	9	29
105	10	22
105	11	32
105	12	32
105	13	18
105	14	29
105	15	23
105	16	22
105	17	20
105	18	22
105	19	21
105	20	20
105	21	23
105	22	30
105	23	25
105	24	22
105	25	19
105	26	19
105	27	26
105	28	68
105	29	29
105	30	20
105	31	30
105	32	52
105	33	29
105	34	12
106	1	18
106	2	24
106	3	17
106	4	24
106	5	15
106	6	27
106	7	26
106	8	35
106	9	27
106	10	43
106	11	23
106	12	24
106	13	33
106	14	15
106	15	63
106	16	10
106	17	18
106	18	28
106	19	51
106	20	9
106	21	45
106	22	34
106	23	16
106	24	33
107	1	36
107	2	23
107	3	31
107	4	24
107	5	31
107	6	40
107	7	25
107	8	35
107	9	57
107	10	18
107	11	40
107	12	15
107	13	25
107	14	20
107	15	20
107	16	31
107	17	13
107	18	31
107	19	30
107	20	48
107	21	25
108	1	22
108	2	23
108	3	18
108	4	22
109	1	28
109	2	36
109	3	21
109	4	22
109	5	12
109	6	21
109	7	17
109	8	22
109	9	27
109	10	27
109	11	15
109	12	25
109	13	23
109	14	52
109	15	35
109	16	23
109	17	58
109	18	30
109	19	24
109	20	42
109	21	15
109	22	23
109	23	29
109	24	22
109	25	44
109	26	25
109	27	12
109	28	25
109	29	11
109	30	31
109	31	13
